group_id,group_name
REST000036,16라인 Cafeteria
REST000037,17라인 Cafeteria
REST000993,3M나주
REST000862,3M화성
REST000030,6라인 Cafeteria
REST000572,ASE KOREA
REST001268,BAT코리아
REST000031,CDI Cafeteria(운영종료)
REST000720,DS 걷기 챌린지
REST007254,DS 에듀센터 동탄 Ⅱ
REST000039,DSR
REST000054,GEC
REST000880,GE초음파
REST000268,GST
REST004260,HP판교
REST000100,IFC서울
REST007195,JW사옥
REST000879,JW생명과학
REST000212,KGC인삼공사부여(운영종료)
REST000102,KGC인삼공사원주공장(운영종료)
REST000857,MKE전자
REST000032,MR1 Cafeteria
REST004139,NC다이노스창원직원식당(운영종료)
REST001001,NH금융
REST000014,R3 쿠디(3F)
REST000013,R3 하모니(B1F)
REST000003,R4 레인보우(B1F)
REST000004,R4 밀키웨이(6F)
REST000005,R4 오아시스(B1F)
REST000006,R5 5F
REST000007,R5 B1F
REST000008,R5 B2F
REST000103,SDI구미(A)
REST000104,SDI기흥
REST000105,SDI울산
REST000106,SDI천안
REST000107,SDI천안기숙사(운영종료)
REST000108,SDI청주(운영종료)
REST007314,SDR Cafeteria
REST000109,SDS구미
REST000057,SDS상암(운영종료)
REST000055,SDS잠실
REST004964,SDS판교피키피커스
REST000112,SFA동탄(운영종료)
REST000449,SFA반도체
REST000795,SFA반도체범핑
REST000113,SFA아산(운영종료)
REST006768,SK 실트론2공장
REST006769,SK 실트론3공장
REST007594,SK-C타워 사내식당
REST004978,SK머티리얼즈영주(운영종료)
REST000144,SK오션플랜트
REST000069,SMC별관직원(운영종료)
REST000070,SMC본관직원
REST000071,SMC암병원직원(운영종료)
REST000023,SR1 Cafeteria
REST000025,SR3 Cafeteria
REST000026,SR5 Cafeteria(운영종료)
REST000027,SR6 Cafeteria(운영종료)
REST000190,TE 경산 1공장(운영종료)
REST004125,TE 경산 3공장(운영종료)
REST007542,The UniverSE Cafeteria
REST004306,V1L Cafeteria
REST000114,강북SMC직원
REST001042,건화창원
REST004808,경보제약
REST001237,경북대병원직원
REST000725,경상국립대병원직원(운영종료)
REST001216,경신경주공장
REST006735,계명대대구동산병원직원
REST004176,계명대동산병원직원(운영종료)
REST000119,고려아연울산(운영종료)
REST007052,고려아연울산1식당
REST001293,고영테크놀러지(운영종료)
REST007669,공군교육사령부군수1학교
REST007672,공군교육사령부군수2학교
REST007670,공군교육사령부정통학교
REST007668,공군교육사령부항공과학고
REST007671,공군교육사령부행정학교
REST007340,광동제약
REST006755,광주글로벌모터스
REST000120,군인공제회관
REST000519,금호석유화학울산고무
REST007256,기술동 Take Out
REST001357,김포우리병원직원
REST004216,넥슨꽃밥밥집(운영종료)
REST004213,넥슨다이닝엔(운영종료)
REST004908,노벨리스코리아영주(운영종료)
REST000763,니프코코리아아산
REST000750,단국대천안병원직원(운영종료)
REST000532,대덕전자DP센터(운영종료)
REST001605,대덕전자MLB(운영종료)
REST000535,대덕전자PKG(운영종료)
REST000528,대덕전자기숙사(운영종료)
REST004312,대덕전자모바일(운영종료)
REST004308,대전충남양돈농협(운영종료)
REST000125,대한항공테크센터(운영종료)
REST000654,더존IT강촌(운영종료)
REST002902,덴소코리아마산
REST006941,도레이마곡본사(운영종료)
REST000878,도레이첨단소재구미1공장(운영종료)
REST000483,도레이첨단소재구미2공장(운영종료)
REST001244,도레이첨단소재구미3공장(운영종료)
REST001243,도레이첨단소재구미4공장(운영종료)
REST001161,도레이첨단소재구미5공장(운영종료)
REST006897,도레이첨단소재군산(운영종료)
REST005014,동아에스티달성
REST005013,동아에스티천안
REST000303,동아일렉콤
REST000067,동우화인켐 평택본사(운영종료)
REST007329,디알비동일부산
REST007330,디알비동일양산
REST007346,디엔솔루션즈남산
REST004211,래미안블레스티지
REST004182,로버트보쉬코리아대전(운영종료)
REST004185,로버트보쉬코리아용인(운영종료)
REST000041,로즈홀(온양)
REST000129,로지텍수원(운영종료)
REST000130,로지텍이천(운영종료)
REST001327,로지텍평택(운영종료)
REST000131,루멘스(운영종료)
REST000132,르노삼성부산동백(운영종료)
REST000323,르노삼성부산부품센터(운영종료)
REST000111,린스퀘어(운영종료)
REST000133,멀티캠퍼스
REST007327,메가존산학연센터
REST000058,메디슨판교(운영종료)
REST007253,메디슨홍천
REST000771,물산안성베네스트직원
REST000136,물산안양컨트리클럽지원센터
REST000137,물산안양컨트리클럽직원
REST000138,물산캐스트하우스
REST000072,물산파크1
REST000073,물산파크2
REST006705,바이오로직스
REST000139,바이오에피스글로벌센터
REST000059,반트 직원식당
REST000759,발레오전장1공장(운영종료)
REST000758,발레오전장2공장(운영종료)
REST004181,보쉬렉스로스코리아부산(운영종료)
REST004183,보쉬전장세종(운영종료)
REST000388,부광약품
REST004821,부산국제금융센터(운영종료)
REST000891,부천테크노파크 2단지(운영종료)
REST000260,부천테크노파크1단지(운영종료)
REST000426,분당서울대병원HIP
REST000849,분당서울대병원직원
REST002898,비에이치2공장
REST007628,삼강에스앤씨본관
REST007675,삼강에스앤씨생산
REST007676,삼강에스앤씨안벽
REST001021,삼광본사(운영종료)
REST004931,삼광윈테크(운영종료)
REST000145,삼기서산
REST001291,삼기서산2공장
REST000146,삼기평택본사
REST000208,삼성레포츠센터
REST000016,삼성미래기술캠퍼스
REST000950,삼성창원병원직원
REST001173,삼양사판교R&D센터(운영종료)
REST001003,삼일제약
REST007347,삼진정공
REST000147,삼진정공천안(운영종료)
REST000397,상담실(간호)
REST001060,상담실(운동)
REST001012,상담실(의료)
REST000461,상담실1
REST000395,상담실2
REST000625,상담실3
REST000679,새론오토모티브(운영종료)
REST000148,생명서비스당산(운영종료)
REST001041,생명서비스부산(운영종료)
REST000001,생명서초
REST000048,서울R&D 1단지(운영종료)
REST000049,서울R&D 2단지
REST001599,서울대대학원(운영종료)
REST000149,서울대연구단지(운영종료)
REST001137,선일다이파스
REST004883,성동조선해양
REST000151,세메스 천안
REST000152,세메스 화성(운영종료)
REST007022,세메스2식당
REST000231,세명기독병원직원(운영종료)
REST007341,세방리튬배터리
REST004126,세방전지창원
REST000690,세스코본사
REST001075,세정
REST001238,세진중공업울산1공장(운영종료)
REST001236,세진중공업울산2공장(운영종료)
REST001332,세진중공업울산학남공장(운영종료)
REST000009,스마트(운영종료)
REST000884,스테코천안(운영종료)
REST000154,스템코
REST002876,신라엔지니어링아산
REST001186,신진정밀(운영종료)
REST007041,심텍오창공장
REST007040,심텍청주공장
REST007351,쎄트렉아이
REST001276,씨아이에스
REST007218,씨제이제일제당인천1공장
REST006905,아모레본사
REST000156,아모레퍼시픽대전
REST001248,아모레퍼시픽오산(운영종료)
REST000043,아산1캠퍼스 블루그린홀
REST000044,아산1캠퍼스 비전홀
REST000046,아산1캠퍼스 조이홀
REST000045,아산2캠퍼스 올렉스홀
REST000587,아트라스BX대전
REST001008,아트라스BX전주(운영종료)
REST007167,에코프로포항1캠퍼스(운영종료)
REST000425,엔씨소프트(운영종료)
REST000029,여자기숙사 Cafeteria(운영종료)
REST000160,연합뉴스본사
REST000607,영림임업2공장
REST000601,영림임업3공장
REST002882,영신쿼츠
REST000161,영풍전자안산1공장
REST000162,영풍전자플렉스타워
REST006892,오리온청주4공장(운영종료)
REST001365,오비맥주광주공장
REST001242,오비맥주이천공장
REST001364,오비맥주청주공장
REST000065,오이솔루션
REST007183,오토리브화성
REST006435,오픈지원_용인
REST000280,온셀텍
REST000939,올바른건강증진
REST000163,용인센터식당
REST000164,우리W타워
REST006694,우리금융디지털타워
REST000165,우리금융상암센터
REST000166,우리은행본사
REST007678,원익큐엔씨캠퍼스에스
REST007281,원익판교본사
REST000662,원주세브란스기독병원직원
REST001214,원창포장공업1공장(운영종료)
REST001215,원창포장공업2공장(운영종료)
REST001184,유진금속공업
REST004974,유한킴벌리김천(운영종료)
REST007326,육군3사관학교
REST007322,육군사관학교
REST007595,육군훈련소30연대
REST004206,을지트윈타워(운영종료)
REST007575,이노밸리
REST001005,이대목동병원직원
REST007352,이상네트웍스
REST004240,이수페타시스
REST000860,이수화학(운영종료)
REST000168,인천공항관리청사(운영종료)
REST000169,인천공항에어동편(운영종료)
REST000170,인천공항여객동편(운영종료)
REST000171,인천공항탑승동동편(운영종료)
REST000172,인터플렉스
REST000620,자생한방병원해운대직원
REST001370,자화전자3공장
REST007061,자화전자구미
REST001344,자화전자본사
REST000595,전기부산
REST007319,전기세종
REST007312,전기수원1성미관
REST000020,전자광주1식당(운영종료)
REST000021,전자광주2식당(운영종료)
REST000022,전자광주3식당(운영종료)
REST000017,전자구미1캠퍼스
REST000018,전자구미2캠퍼스1식당
REST000019,전자구미2캠퍼스2식당
REST000213,전자구미2캠퍼스3식당(운영종료)
REST000177,전자수원CS아카데미(운영종료)
REST007146,전자평택M1카페테리아
REST007255,전자평택기술동카페테리아
REST000592,전주페이퍼전주
REST000178,제일기획본사
REST004943,제주드림타워(운영종료)
REST000083,중공업거제(4안벽)식당
REST006855,중공업거제(K안벽)식당
REST000081,중공업거제(가로지)식당
REST001057,중공업거제(사곡)식당
REST000404,중공업거제(신한내)식당
REST000084,중공업거제(지원관)식당
REST000082,중공업거제(피솔)식당
REST000417,중공업거제(피솔2)식당
REST000076,중공업거제A식당
REST000077,중공업거제B식당
REST000078,중공업거제C식당
REST000079,중공업거제D식당
REST000080,중공업거제E식당
REST000743,중공업거제G식당
REST007577,중공업거제LD
REST000085,중공업거제M1식당
REST007072,중공업창원(운영종료)
REST000179,중공업판교
REST006884,중앙경찰학교
REST007599,중앙그룹상암사옥
REST007643,지엠비코리아창원1공장
REST007644,지엠비코리아창원2공장
REST000793,차바이오컴플렉스(운영종료)
REST007607,창원경상국립대병원직원
REST000328,창조관
REST000042,체리홀(온양)(운영종료)
REST007571,충북대병원푸드코트
REST000183,카드대전CRM(운영종료)
REST000409,카드부산CRM(운영종료)
REST004258,카페테리아889(운영종료)
REST004148,컴투스
REST000318,케이브이머티리얼즈
REST000928,케이씨텍
REST006863,케이씨텍R&D센터
REST007150,케이조선
REST001387,케이티앤지광주(운영종료)
REST000351,케이티앤지영주
REST004894,케이티앤지천안
REST000086,코닝정밀소재아산1식당
REST000087,코닝정밀소재아산2식당
REST000088,코닝정밀소재아산드림빌
REST000089,코닝정밀소재아산퓨전빌(운영종료)
REST000184,코리아벤쳐타운
REST000927,코스맥스
REST001142,코스맥스NBT
REST001255,코스맥스네오
REST004278,코스맥스바이오
REST006794,쿠쿠홈시스시흥(운영종료)
REST000047,크리스탈홀(천안)
REST001203,테라닉스
REST000380,테스트
REST007001,테스트(메뉴eng그룹)
REST000010,투게더(운영종료)
REST000192,티맥스소프트
REST007631,파리크라상성남
REST000194,판교디지털센터(운영종료)
REST000011,패밀리(운영종료)
REST002874,펄어비스(운영종료)
REST007237,펍지키친
REST000051,평택P1라인카페테리아
REST004847,평택P2라인카페테리아
REST000937,포메탈서산(운영종료)
REST004316,포스코R&D
REST004820,포스코센터
REST007348,포항제철소선강대식당
REST000012,폴라리스(운영종료)
REST000093,풍산안강(본관)(운영종료)
REST004876,프레시지용인공장
REST001246,피케이밸브
REST000198,한국공항GSE빌딩(운영종료)
REST000200,한국몰렉스광주(운영종료)
REST000201,한국몰렉스본사
REST000202,한국오웬스코닝김천공장(운영종료)
REST000094,한국유미코아천안1공장(운영종료)
REST001251,한국유미코아천안2공장(운영종료)
REST000095,한국유미코아천안3공장(운영종료)
REST007007,한국유미코아천안4공장(운영종료)
REST000942,한국전력 인텐시브케어
REST006885,한국타이어ENG랩
REST007171,한국타이어금산1
REST000203,한국타이어금산1공장(운영종료)
REST000204,한국타이어대전공장
REST000205,한국타이어테크노돔
REST000206,한미약품연구센터
REST000273,한미약품팔탄
REST000728,한미약품평택
REST007309,한화솔루션울산1사업장
REST007311,한화솔루션울산2사업장
REST007310,한화솔루션울산3사업장
REST007296,한화솔루션진천
REST007297,한화시스템용인
REST007299,한화에어로스페이스1사업장
REST007300,한화에어로스페이스2사업장
REST007301,한화에어로스페이스3사업장
REST007292,한화에어로스페이스대전
REST007293,한화에어로스페이스대전R&D
REST007295,한화토탈기숙사
REST004941,해성디에스(운영종료)
REST000050,헬씨랩
REST000061,호텔신라서울별관
REST000809,호텔신라제주
REST001167,호텔신라제주면세점
REST006733,홈앤쇼핑(운영종료)
REST000209,화재광주(운영종료)
REST000968,화재동대구(운영종료)
REST000066,화재서초
REST001107,화재수원(운영종료)
REST000210,화재영등포(운영종료)
REST001086,화천기계창원(운영종료)
REST001013,환경기술센터
REST006820,효성본사식당(운영종료)
REST001301,효성중공업창원1공장
REST001303,효성중공업창원2공장
REST001302,효성중공업창원3공장
REST001307,효성중공업창원4공장
REST001306,효성중공업창원5공장
REST000211,휴맥스분당(운영종료)
REST001228,힐튼아난티부산(운영종료)
